tag_id,name,category,count
9999999.0,general,9,1589178.0
9999998.0,sensitive,9,3994361.0
9999997.0,questionable,9,892496.0
9999996.0,explicit,9,706509.0
470575.0,1girl,0,5113288.0
212816.0,solo,0,4253220.0
13197.0,long_hair,0,3645082.0
8601.0,breasts,0,2889545.0
469576.0,looking_at_viewer,0,2696730.0
3389.0,blush,0,2496356.0
1815.0,smile,0,2365730.0
11906.0,open_mouth,0,1950469.0
15080.0,short_hair,0,1904624.0
10959.0,blue_eyes,0,1490640.0
412368.0,simple_background,0,1420030.0
12590.0,shirt,0,1382452.0
403247.0,large_breasts,0,1333379.0
429.0,skirt,0,1328225.0
87788.0,blonde_hair,0,1311581.0
566835.0,multiple_girls,0,1309199.0
16867.0,brown_hair,0,1267072.0
13200.0,black_hair,0,1225953.0
383159.0,long_sleeves,0,1199349.0
380350.0,hair_ornament,0,1175185.0
515193.0,white_background,0,1161729.0
540830.0,1boy,0,1129709.0
5735.0,gloves,0,1113040.0
8526.0,red_eyes,0,1081613.0
2241.0,dress,0,1046050.0
1882.0,thighhighs,0,1034635.0
2373.0,hat,0,1034610.0
375387.0,holding,0,1022399.0
4563.0,bow,0,984380.0
9294.0,navel,0,974528.0
6126.0,animal_ears,0,950191.0
464575.0,ribbon,0,937186.0
658573.0,hair_between_eyes,0,922798.0
572080.0,closed_mouth,0,876401.0
1821.0,2girls,0,860944.0
4607.0,cleavage,0,848453.0
16613.0,jewelry,0,829749.0
376054.0,bare_shoulders,0,815753.0
417660.0,very_long_hair,0,783428.0
12289.0,sitting,0,782247.0
1709.0,twintails,0,770972.0
667868.0,medium_breasts,0,770389.0
16578.0,brown_eyes,0,747352.0
15675.0,standing,0,733225.0
8889.0,nipples,0,717669.0
10960.0,green_eyes,0,711390.0
464906.0,underwear,0,706352.0
10953.0,blue_hair,0,704952.0
3843.0,jacket,0,700303.0
16509.0,school_uniform,0,688100.0
15654.0,purple_eyes,0,669153.0
466499.0,collarbone,0,655630.0
15674.0,tail,0,634183.0
376766.0,white_shirt,0,629056.0
608813.0,full_body,0,624413.0
547463.0,upper_body,0,595301.0
391.0,panties,0,580171.0
465619.0,closed_eyes,0,570045.0
89189.0,yellow_eyes,0,565375.0
444.0,swimsuit,0,564464.0
16581.0,white_hair,0,563701.0
11429.0,pink_hair,0,551851.0
1681.0,monochrome,0,547787.0
16580.0,grey_hair,0,529760.0
3522.0,ahoge,0,528662.0
4334.0,braid,0,525679.0
464561.0,hair_ribbon,0,525639.0
16442.0,purple_hair,0,524002.0
1300281.0,male_focus,0,516211.0
2355.0,ponytail,0,514797.0
8101.0,ass,0,513666.0
464559.0,flower,0,512140.0
11449.0,weapon,0,506828.0
390728.0,multicolored_hair,0,501249.0
